File Name,Job Description,label
335633806_3348324135421935_8766478558446157984_n.jpg,"Staff
Gudang

Pria

Usia max 30 tahun.

Lulus SMA sederajat.

Memiliki Sim A dan

Bersedia bekerja dalam tim, jujur
displin dan bertangqung jawab
Berbadan sehat

Sudah Vaksin Covid 19

Surat lamaran tulis tangan
Riwayat hidup.

Fotocopy ijazah.

Fotocopy ktp.

Fotocopy kartu keluarga.
Fotocopy sim.

SKCK

Surat Keterangan Sehat.
Pas Foto berwarna 4X6
terbaru.

Sertifikat vaksin yang suda
terdaftar di Peduli Lindunc

SURAT LAMARAN LENGKAP DIKIRIM
JALAN A YANI KM 11,200 RT 02 NO 12 SUNGAI LAKUM, KERTAK HANYAR
TELEPON 0511 - 3258888 / 081953903686
",bias
335583446_212563094689627_1401899590523108759_n.webp,"We are Hiring

Laki-laki/Perempuan, min. usia 25th
Pendidikan minimal SMK/sederajat
Pengalaman min 1 tahun dibidangnya
Marketing/Sales

» Kreatif dan Inovatif
Pengguna aktif sosial media
Mempuanya banyak relasi
Terbiasa berbicara di depan umum
Dapat bekerja dibawah tekanan
Berpenampilan menarik

Transport Allowance
Bonus bulanan
Bonus Achievement
Komisi
Jenjang Karir yang jelas
e Trip ke dalam dan luar negeri

DROP YOUR CV:

Subjek : Nama_IT Support
recruitment.dmbjkt@gmail.com
",bias
335592812_602620031406456_5504167819483272556_n.jpg,"+ PENDIDIKAN MIN. S2 TATA BOGA

+ DIUTAMAKAN MEMILIKI JABATAN
FUNGSIONAL DOSEN

+ MIN. IPK 3.00

+ USIA MAKSIMAL 35 TAHUN

+ MEMILIKI SEMANGAT UNTUK TERUS
BELAJAR DAN MENINGKATKAN
KOMPETENSI

WHATSAPP + +62-813-3137-4456 / WAHYU RATNASARI

ALAMAT : JL. BRATANG BINANGUN NO. 37, SURABAYA

© info@monaskuliner.ac.id © @monasculinary © +62-882-8000-8737
",bias
336116459_136601646011175_7423938289034469162_n.webp,"LOWONGAN NUSANTARA

indofarma

Dibutuhkan :

* Supervisor Quality Control Alat Kesehatan
* Supervisor Research & Development Alat Kesehatan

* Pria/Wanita

* Usia maksimal 28 tahun

* Sehat jasmani dan rohani

* Pendidikan minimal D4/S1

* IPK minimal 3.00

* Mampu mengoperasikan Ms Office

Info Selengkapnya : is

* Kualifikasi dan cara pendaftaran di website :
@ : Lowongannusantara.com
©: @lowongan.nusantara

",bias
335596433_451339073814494_8639339095134540859_n.webp,"We Are Hiring

Front End Mobile Developer

» Bertanggung jawab untuk pembuatan dan implementasi fitur motile

+ Pendidikan DS! Ilmu Kemputer, Teknologi InformasiManajemen:
Informatika, Sistem Informasi atau program studi yang berkaitan
Menguasai dan pengalaman develop Android App
Mengerti JSON web service & Node JS
Menqguasai SOL Server Database:

Menguasai Android Studia

Memahami Flutter atau React Native merupakan nilai tambah
Bersedia mempresentasikan project yang pernah dibuat
Sudah mendapatkan vaksin booster

} Kirimkan C¥ mu dengan Format : NAMA _POSISI YANG DILAMAR

Kirimkan Ke Link Berikut Ini: httpsy/linktr.ee/joingsi (IT)
“Posis| akan ditutup 3) Maret 2023

gictalerdcote BM

",bias
333599981_732175991944846_5206062647512438690_n (58).webp,"KYameus jis ie eaten
UNIVERSITAS ome eKa UNISM
SARL MULIA sprees

Fakultas Sains & Teknologi
e) Teknologi Informasi @ Teknik Industri © Sistem Informasi

Keuntungan yang akan Didapatkan dari
Kegiatan Studi Independen Bersertifikat

So oO

1. Ilmu praktis dan sertifikasi yang sesuai kebutuhan industri

2. Kesempatan untuk masuk ke dalam jalur karir yang diinginkan

Haniffah Sri Rinjani 3. Pengalaman mengimplementasikan ilmu sesuai standar industri

4. Berjejaring dengan pihak yang relevan dengan karir pilihanmu

fst.unism itunism teknikindustrisarimulia si.unism_official Mahasiswa Program Studi Teknologi Informasi

",bias
334862543_186391864139133_6174775506607409685_n.jpg,"BLOG.Com

LOWONGAN KERJA
PT Luna Boga Narayan (Jiwa Group)

Posisi Kualifikasi

Info Selengkapnya di www.lokerblog.com

Lokerblog 4] Lokerblog

Cf) Lowongankerjaindonesiaupdate Jd Lokerterbaru
",Non-bias
333626317_1014384086635929_3900549492358301648_n.jpg,"“his ge #LOWONGANKERJA

PT KAO Indonesia

Posisi yang tersedia :
Lowongan Media Planning Executive
Lowongan Key Account-Executive
Lowongan Area Sales Supervisor)»
kowongan Marketing Research Executive
4 Lowongan Business Analyst t Shopper Mi (dig Development ~
y -owongan Sales Leader Administration (| ledan) | 5
Lowongan Customer Care Executive
=} ¢ Lowongan Industrial Relation Executive

Lowongan Factory Accounting & Cost Control Executive

_ Lowongan Technical E tL ] a” ‘|

Info Selengkapnya ra ride
it] wwwigotokerja.com =
t i I
[) @clickinaja
fi @lowongankerjadaninform.

@gotokerjacom Fy
Foto : google.com

",Non-bias
335235015_522101056789088_4728184584196552065_n.jpg,"WE AR
HIRING

1. Hostess

2. Engineering

3. Guest Service
4. Cashier

5. Waiter / ss (DW

6. Activity (DW)

7. Photographer (DW)
8. Concierge (DW)

9. Security (DW)

10. Housekeeping (DW)

",Non-bias
333599981_732175991944846_5206062647512438690_n (49).webp,"WE ARE HIRING

Kualifikasi
¢ Pria/Wanita (Khusus kasir tanjung duren hanya Pria)
¢ Pendidikan minimal SMA/SMK
¢ Sudah vaksin booster
* Memiliki pengalaaman
¢ Dibidang/posisi yang sama minimal 1 tahun

Please fill in the form below:
bit.ly/applytowingstop
Or scan the barcode below.

Pay
iy

ane

Ea

ff

",Non-bias
335543677_799198901547606_8807057212277166443_n.jpg,"NZ ‘\SABR!

Lowongan Kerja PT ASABRI (Persero)

Rekrutmen Calon Pegawai PT ASABRI (Persero)

Kualifikasi Umum:

+ Pendidikan terakhir min. D4/S1 dari Perguruan Tinggi
dengan akreditasi min.B dan IPK 3.00

+ Lulusan bar (Fresh Graduate) atau memiliki pengalaman
1 - 2 tahun.

mendaftarkerja.com
",bias
336156639_1159520017955354_5321762273957549542_n.jpg,"“Toke Boku & Ale Tals

WE ARE

HIRING —

e PRAMUNIAGA
PERSYARATAN :

© Pria/Wanita, maks. usia 33 tahun

* Pendidikan min. SMK/SMA

* Pengalaman retail min. 2 tahun

Fresh graduate dipersilahkan

Memiliki SIM & kendaraan pribadi

° Penempatan Ploso, Dharmahusada,
dan Wadung Asri

KIRIM EMAIL ANDA

",bias
335542283_891280532166107_4095330222737366801_n.webp,"CREW KEBUN

ESTEH INDONESIA
GRAHA RAYA
BINTARO

es-teh

SYARAT

1.Laki-laki / perempuan usia 19 s/d 25 tahun.

2.Lulusan SMK / SMA sederajat.

3.Memiliki sikap jujur, bertanggung jawab, dan mampu bekerja sama
dalam tim.

4.Diutamakan berpengalaman sebagai bartender atau barista.

5.Bersedia bekerja shift (full time).

6.Diutamakan belum menikah.

7.Melampirkan Rartu vaksin covid (Min.dosis 2).

8.Domisili di Graha Raya Bintaro dan sekitarnya.

9.Penempatan di Esteh Indonesia Kebun Graha Raya Bintaro:
Graha raya GR IX no 1, Pondok kacang barat

KIRIMKAN

+ CV, Surat Lamaran, KTP, ljazah Terakhir, Transkip Nilai,
KK, Pas Photo Warna Terbaru 4x6
+ Email: Estehmelatimas@gmail.com
+ SUBJEK: CREW GRAHA RAYA BINTARO_(NAMA)
ja SEMUA AKAN

ESTEH
",bias
333599981_732175991944846_5206062647512438690_n (79).webp,"See

- We're Hiring

\ Live Streamer Shopee & Tiktok
Fashion Muslim

S Kireinaaparelegmail.com
tas Sampal Slot Krite

",Non-bias
335588619_593078315802077_4821152842312964664_n.jpg,"Contact Us

ae PT. BERCA KAWAN SEJATI

PT. Berca Kawan Sejati merupakan
perusahaan distributor rokok yang sedang
berkembang di Jawa, Kalimantan dan Sumatera

MERCHANDISER

~ Laki-laki usia maksimal 30. Berpenampilan menarik
- Pendidikan min SMA/SMK/MA (S1 Lebih disukai)
-Memiliki sim C aktif

- Freshgraduate / Berpengalaman dalam bidang yang sama
-Memiliki kemampuan adaptasi dan komunikasi yang baik

- Dapat bekerja secara tim maupun individu

~ Memiliki HP Android Ram min. 2 Gb

Job Description :

~Memahami product knowledge

~ Memasang sarana promosi secara strategis dan tepat
sesuai ketentuan

- Menawarkan pembuatan banner kepada pemilik toko/tempat

~ Mengontrol dan merawat sarana promosi di area SR

- Melakukan sampling produk dan edukasi produk kepada
konsumen (perokok)

- Menjalankan kegiatan event di area SR

~ Mencapai target kerja MD yang telah ditentukan
Alamat Kantor
Ruko BRC 28 Summarecon Bandung

Area Lowongan Kerja :
Bandung

‘Tanggal bertaku lowongan :
6 Maret - 31 Maret 2023,

‘Kirin CV dengan format
Subject: Merchandiser_Bandung_(Nama)_
karir@pt-bks.com

Apply Now!
",bias
335066229_3148513982115614_7206884050612154986_n.jpg,"inof

WE ARE

DESAIN INTERIOR
REQUIREMENTS

‘+ PRIA/WANITA USIA25 - 35 TAHUN

‘+ PENDIDIKAN MIN. ST INTERIOR DESIGN/ARSITEK

‘+ MENGUASAI INTERIOR DESIGNING SOFTWARES (30S
MAX,VRAY ETC)

‘+ MEMILIKI SEMANGAT KERJA TINGGI DAN BERTANGGUNG
JawaB,

‘+ PENGALAMAN MIN. 3 TAHUN DI BIDANG FURNITURE

‘+ MAMPU MEMBUAT PRESENTASI SECARA FORMAL

RESPONSIBILITIES

+ MEMBUAT GAMBAR KERJA MEUBEL,
MEMBUAT KONSEP DESIGN DAN DENAH
+ MENGERJAKAN GAMBAR 30 SECARA

APPLY NOW!
ADVANCED, MENYIAPKAN MOODBOARD & = =
MATERIAL BOARD

SEND OFOLIO : WINOFINTERIOR.IDN@GMAIL.COM

",bias
333599981_732175991944846_5206062647512438690_n (3).jpg,"INTERNSHIP TIME

BERSERI INTERNSHIP @

OPEN
RECRUITMENT

We are looking for someone who is able to work in a team @

and passionate in improving oral health among young adults.

Apply Now! &

bit.ly/BerseriRegistration

Timeline :

Registration Interview Announcement
8 - 17 Maret 2095 18-19 Maret 2023 20 Maret 2093

Swipe left for the open positions!

",Non-bias
335886432_1762951920766957_1929606396566563873_n.webp,"Terdaftar dan Diawa:
oleh Kominf

7 +. -
\ (xkitalutus )

LOWONGAN KERJA

DIBUTUHKAN SEGERA!

POSISI :

Karyawan Toko (Plaju)

% Seberang Ulu I, Kota Palembang

Kualifikasi & Persyaratan:

@ Min. Tamatan SMA

@ Pria dan Wanita berpenampilan menarik
@ Amanah, jujur, dan disiplin

@ Memiliki pengalaman kerja

@ Bisa berkomunikasi dengan baik

Detail Informasi tentang pekerjaan dan gqji

akan disampaikan saat wawancara

GETITON Sticke Lamar melalui aplikasi KitaLulus Aplikasi Terbaik
kee eM TORE Klik link di bio untuk download! Google Play

",bias
333478135_206107392014443_38299077817095793_n.webp,"We are Hiring!
ADMIN PEMASARAN PT SINAR INTI PANGAN

* Pria/wanita usia max. 28 tahun.

* Penempatan area Sidoarjo

* Pendidikan D1 Ekonomi

+ Pengalaman minimal 1 tahun di bidang administrasi

* Mengetahui sistem administrasi pemasaran

* Mampu mengoperasikan Microsoft Office

+ Mampu bekerja dengan tim, cekatan, teliti, inisiatif, komunikatif, jujur,
dan bertanggung jawab.

* Mampu bekerja dalam tekanan

Deskripsi Pekerjaa

+ Memasukkan pesanan pelanggan ke dalam laporan penjualan

* Berkoordinasi dengan tim gudang terkait pesanan pelanggan

+ Memantau pengiriman hingga diterima pelanggan

* Memperbarui laporan perkembangan penjualan harian dap :
mingguan i ~

+ Menerima komplain pelanggan dan menindaklanjuti dengai LSS |
tim dalam bentuk penyelesaian

+ Melakukan rutinitas administrasi pemasaran lainnya

Kirim lamaran melalui email: sinarintipangan@gmail.com es

subjek : ADMIN PEMASARAN - NAMA ANDA
",bias
335623874_164788359364032_7181298530385749735_n.webp,"PT FLA INTERNASIONAL
KOSMETIK

Posisi: Operator Produksi

Kualifikasi:
¢ Pria/Wanita, maksimal 25 tahun
¢ Pendidikan SMA/SMK/Sederajat
Mempunyai pengalaman di bidang kosmetik lebih
diutamakan
Jujur, Disiplin, Teliti
Mampu bekerja dalam tim

KLIK LINK DI BIO!
#LokerMARET2023

",bias
335465008_526236389664277_916497904315180792_n.webp,"ay Yy
aA 3UMNx:.. AbIWC
ASEAN Pertamina Jaya Tirsssenrras annus
OPEN RECRUITMENT
Perawat
Periode Registrasi
( 13 - 17 Maret 2023 -)
sts ill li ij
Persyaratan :
e Min. S1 Ners tes

¢ Memiliki STR Aktif

¢ Memiliki Sertifikat BTCLS /
HIPERKES

e Pengalaman Min. 1 Tahun

Link Pendaftaran :
https://bit.ly/recruitmentrspj

RS PERTAMINA JAYA

Jl. Ahmad Yani No. 02, Jakarta Pusat
Telp. (021) 4211 911

{O} rspertaminajaya iD rspertaminajaya
",Non-bias
334802358_425138779834906_6169839693326786250_n.webp,"_ | @anter.ind
ad} f

",Non-bias
335617141_742923833948897_8450634245279654033_n (1).webp,"LAUNCHING LOGO

Desain Curricutum Vitae

Ma rketev.id

JASA CURRICULUM VITAE

Gsi Kreatif - Desain = 4
",Non-bias
335645465_516558304011673_9155808904080710008_n.webp,"LO

NGAN

SS i ———————

iQ

TELEMARKETING

Wanita (maks. 35th)
Minimal lulusan SMA/sederajat

Pekerja keras, Jujur dan Tanggung Jawab
Berpenampilan rapi dan sopan

Memiliki kemampuan yg baik untuk
menawarkan produk

Kirim surat lamaran anda ke

087864397248

",bias
335536202_1261570678102944_437037175900293286_n.jpg,"(T) KARIRGLOBAL.ID

© PT TEMAS Tbk.

",Non-bias
332933805_555769683195429_6355484107344377772_n.webp,"SUA uy en
ae aT,

$s KOMITE SEKoLAy | lA a
NAARIFLMOGIRI oe MAA MOGI SMP MAARIF IW
Jds5| - sevian BE

i id \

",Non-bias
334194059_133507692990523_2690114044665330257_n.webp,"INTERNSHIP TIME

() eoroersitp > Bidfish.id Aman, Mudah, dan 0

Terpercaya

Internship Program

Full Online (WFA) Deadline 18 Maret 2023

BidFish membuka kesempatan bagi Fresh Graduate dan
Mahasiswa/i di seluruh Indonesia yang ingin bergabung
meningkatkan kesejahteraan ekosistem perikanan di Indonesia.

Internship

. Pendaftaran

: bit.ly/Internship_Bidfish

© @bidfish.id @® www.bidfish.id (c3) bidfishidofficial@gmail.com

",Non-bias
333456012_3490529251236563_1280401187479242690_n.webp,"BD purinas

Hotel
Sa, Pangeran Samudra No.15

Banjarmasin, Kalimantan Selatan

Lowongan Kerja |

- Housekeeping
- Resepsionis

SYARAT UMUM :
*PRIA
*Usia 18 - 22 Tahun
*Pendidikan SMA/SMK Sede
Sudah VAKSIN setidaknya <
*Punya kendaraan PRIBADI + SIMC
ap bekerja untuk SHIFT MALAM

*Bisa berkomunikasi dengan baik
Jood looking
Jujur & bertan

ANTAR LAMARAN KE:
HOTEL PURIMAS
(JL.PANGERAN SAMUDERA NO.15-

Batas melamar sampai tgl

19 Maret 2023

",Non-bias
335742481_891750485380310_2916787619237574404_n.webp,"* The Aeatiny Te
¢ Nakamura

(© Holistic Therapy

LOWONGAN KERJA!

TERAPIS
KESEHATAN

Datang - Lamar - Diterima

Fasiltas:

~ Pria & Wanita

- Mess & BPJS

~ Usia maksimal 30 Tahun - Tempat kerja nyaman dan ber - AC

~ Segala jenjang pendidikan dan jurusan — ~ pendapatan menarik

= Pengalaman tidak diutamakan ~ Biaya transportasi ke kota

- Bersedia mengikuti pelatihan penempatan dari perusahaan
~ Senang belajar, loyal, sabar, serta
komunikatif
~ Pilihan penempatan di cabang Kontak Kami:
j 08: 692 (Rafika)
Lamar Onlin
NAKAMURA BANGKONG

Ruko Bangkong Plaza, Blok C8,

JI. MT. Haryono No.864/866, Peterongan
The Healing Touch www.nakamura.co.id [FJHRD Nakamura @)g*@hrd_nakamura
",bias
335483598_898714058073924_1376263798767252766_n (1).webp,"HOST LIVE TIKTOK

Apply via online:

bit.ly/hostfyn

",Non-bias
335742472_753430293082399_637348125746225672_n.jpg,"Dibutuhkan:

1. Admin Toko Mebel, Untuk Lokasi Purbalingga
Kota Dan Kejobong

*Syarat Minimal

- Lulusan Sma Atau Sederajat

- Bisa Mengoprasikan Komputer

- Cekatan

- Teliti

-bisa Mengendarai Motor

2. Tukang Mebel Pengalaman Yang Bisa Ngerakit Lemari Parti
Dan Plistur

Kirim Cv Ke 0815 7:

",bias
336008849_218407880729665_4026562182726135408_n.webp,"Crew Restaurant

Expire Date: 16/03/2023 . Restaurant

TAMAN RASUNA

Loker KFC TAMAN RASUNA

Kriteria:
* Usia minimal 18 Tahun
* Usia maksimal 24 Tahun
* Penampilan menarik
+ Memiliki minat di bidang restaurant
+ Jujur disiplinkomunikatif, bertanggung jawab, dan mampu bekerja
dengan team
* Bersedia bekerja secara shift, kerja saat weekend atau tanggal merah
* Pendidikan minimal SLTA sederajat
« Tinggi badan Pria minimal 165 Cm
* Tinggi badan Wanita minimal 158 Cm
* Minimal sudah 2 kali vaksin c 19
* Status belum menikah

Apply on KFCKU.COM

",bias
333599981_732175991944846_5206062647512438690_n (41).webp,"SINCE 1992

“= “PADDED

WE ARE HIRING!
CKASIR Ean
17.00 - 00.00
1. Wanita
2. BELUM MENIKAH
3. TIDAK SEDANG KULIAH
5. Pendidikan Min. SMA/K Sederajat
6. Jujur, disiplin, bertanggung jawab

7. MAU BELAJAR dan SERIUS BEKERJA
8. Mampu bekerja di bawah tekanan

GAJI POKOK

9. Memiliki kendaraan pribadi

More Info : 0822 5900 9778 (WA)
() hollandfarmer1992

",Non-bias
334374247_931122564751565_2224881583795504353_n.jpg,"SVYARAT

APPLY

KIRIMKAN BIODATA/CV ANDA KE : y
HRDCATHAYDIGITAL@GMAIL.COM §
JL. KRANGGAN NO, 92 SURABAYA §

I

Wanita Usia Maksimal 28 Tahun

Good Looking

Pendidikan minimal SMU sederajat
Bersedia bekerja Shift

Bisa Corel & Photoshop Nilai Plus
Paham Fitur dasar Live Tiktok & Shopee
Percaya diri dan berani tampil di depan kamera
Mengikuti trend terkini
Berpengalaman lebih diutamakan
Berperilaku baik, Jujur & Tidak manja
Penempatan Surabaya

ex

CF
<E

Mereview produk di live streaming

Menjawab semua komentar di live streami
ye

Shopee

",bias
335559007_228408689661800_5982402897110966462_n.jpg,"penderrsran Contact Person
Carn Aji (085896225785)
bit.ly/sfregl ‘Zurli (085709128051)

’
robin @ Mrovin.o

",Non-bias
335943750_878586756705055_7803631099060769599_n.png,"JT DIGITALLY - DIGITAL MARKETING AGENCY
We're Hiring:
GRAPHICS DESIGNER

Kualifikasi :
1. Pria/ wanita pendidikan SI maks. 30 tahun

2. Berpengalaman sebagai graphics designer
minimal 3 tahun

3. Menguasai lebih dari 3 software desain

4.Terbiasa melakukan Quality Control adalah
nilai plus

5. Siap bekerja sesuai target, jujur, dan
disiplin.

6.Domisili Yogyakarta

8 Kirim CV dan Portfolio ke: @ijtdigitally

career.jtd4@gmail.com ae
Paling lambat 22 Maret 2023 itdigitally.com

",bias
333452716_674839210995449_5850352184494514271_n.webp,"JOIN OUR TEAM!

We're in dire need of
Chef and Chef helper

- MAKSIMAL UMUR 30 TAHUN
- MEMILIKI PENGALAMAN MINIMAL 1 TAHUN
- JUJUR DAN MAU BEKERJA KERAS

- PENDIDIKAN MINIMAL SMA / SMK SEDERAJAT

Email us at
threelogycoffee@gmail.com
",Non-bias
333599981_732175991944846_5206062647512438690_n (48).webp,"Bank
Muamalat

fi
Bank Muamalat Indonesia

¢ Mulia Teller

KUALIFIKASI.

x

* Pria/Wanita TPA —
. Usia maksimum 23 tahun
. Berpenampilan menarik
« Pendidikan ‘SMA/SMK/MA atau maksimal D3
. Tinggi t badan Pria minimal 160 cm >.
dan Wanita 1 55 cm
: ‘Memilitsil service oriented yang tinggi

Info lengkap i: 3
www.lokerutama.com -

iihhf

LOKER UTAMA HAVE A NICE JOB
",bias
336072065_595842902404736_4721905108081121942_n.webp,"FOREMAN/SUPERVISOR

DS/S1 TEbektro / T, Masin / Akuntansi / Ekonomi
PK min, 3,0
Bersedia bokerja shift
APPLICATION DEVELOPER
51 T. Informatika / Sistern informal (1PK 3.0)
Paham PHP / AJAX / Javascript / Frarvework Lavarel 5

INTERNAL CONTROL/BILLING OFFICER

SI Manajemen / Akutansi ( (PK min. 3,0)

Monguasal Ms. Excel (administrasi & otah cata)

LEARNING SPECIALIST
SI Pendidikan (1PK min 30)
Menguasal Ms. Office
- Menguasai penyusunan kurikulum & kompetensi

BUSIMESS PROCESS ANALYST

~SI Teknik elektronika, Teknik Industr!, Mekatronika,
Teknik Kienia
- Mengerti mengenai bisnis kualitas

RND ENGINEER

+517. Elektro farus lemah) /T. Mesin (KE) /
Tinformatika/ Mesin Otomotif/ Lutusan ATMI

- Baik dalam perencanaan, perancangan & analisis

ID ENGINEER / GRAPHIC DESIGN
- $1 Desain Produk / OKV/ Arsitektur (1PK min. 30)
-Menguasal software grafis (CorelDraw /

Adobe Illustrator & Photoshop

PROJECT LEADER
~SVS2T. Industri / T. Mesin /T. Elektro

- Hanya untuk yang berpengalaman sebagai
Project leader, telltt, menguasal bahasa asing

TECHNICIAN
~ SMK Teknik Audio Video
~ SMK Teknik Permesinan

AMDAL & HIRAC

TESTING ENGINEER

SI Elektronika Telekomuntk

Menguasal spectrum analyz hulet dan

non setuler

ENGINEER SPECIAL PROJECT
SI Teknik elektronika & S1 Teknik Informatika
Menguasai dasar eloktronika
Menguasal bahasa pemrograman Java, Phython
Memahami data base baik SQ dan NOSQL

CNC COORDINATOR
Minimal D3 T.Mesin, Momiliki pengalaman
di permesinan
Bisa mengoperasikan mesin CNC milling dan software
mastercam & solidworks

MECHANICAL DESIGN ENGINEER
(ELECTRIC VEHICLE)

SI Teknik Mesin, tertarik dengan dunia otomotif

HARDWARE ENGINEER
(ELECTRIC VEHICLE)

St Teknik Elektronika, tertarik dengan dunia otomotif
SOURCING - NEGOTIATOR
~ 5} Teknik industri / Ekonomi - Akutans!

Memiliki pengalaman di bidang purchasing I tahun
- Fasih berbahasa inggris

UTILITY MAINTENANCE COORDINATOR
- SMK & S! Teknik Elektro arus kuat

Memiliki inisiatif & terbiasa bekerja tim

CIVIL & STRUCTURE SPECIALIST
~SMK T, Kontruksi Bangunan & $1 Teknik Siptl

- Mampu menganalisa, bernegosias! & problem solving
HSE

~S1K3 / Teknik Kimia
- Menguasal konsep

",bias
333599981_732175991944846_5206062647512438690_n (82).webp,"DIBUTUHKAN
SEGERA

",Non-bias
335944855_719913089770825_593973469815977883_n.jpg,"ner
pan pelayanan,
Kolaboratif kesehatan gigi dan mulu,

Min. D3 Perawat Gigi
STR yang masih aktif

Diutamakan yang memiliki pengalaman 7
kejujuran, integritas, kreatif, dan komunikatif_

Mampu mengoperasikan Ms. Office
‘Sudah mendapatkan vaksin, minimal dosis ke-2

4 SCAN HERE!

PENEMPATAN SELURUH INDONESIA
Batas Akhir Registrasi: 31 Maret 2023

© ootesrer —  tetrurmenkimiaferma.cois

",bias
